symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
BTG,2026-01-05,21.32,19.01,40.33,2.30,22.74,2.30
BTG,2026-01-06,11.12,16.49,27.62,-5.37,39.79,-3.07
BTG,2026-01-07,17.85,8.66,26.51,9.19,24.02,6.12
BTG,2026-01-08,9.21,27.51,36.73,-18.30,35.90,-12.18
BTG,2026-01-09,30.31,5.84,36.14,24.47,29.21,12.29
BTG,2026-01-12,12.45,35.26,47.70,-22.81,27.79,-10.52
BTG,2026-01-13,11.46,21.14,32.60,-9.68,32.94,-20.20
BTG,2026-01-14,24.92,1.96,26.88,22.96,26.95,2.76
BTG,2026-01-15,34.03,8.49,42.53,25.54,28.67,28.30
BTG,2026-01-16,21.32,14.22,35.54,7.09,31.98,35.39
BTG,2026-01-19,23.93,14.49,38.42,9.45,21.31,44.84
BTG,2026-01-20,13.10,12.38,25.48,0.72,22.11,45.56
BTG,2026-01-21,21.22,14.44,35.66,6.78,29.06,52.34
BTG,2026-01-22,15.53,29.93,45.46,-14.40,31.77,37.94
BTG,2026-01-23,10.12,44.78,54.90,-34.66,36.58,3.28
BTG,2026-01-26,8.45,18.59,27.05,-10.14,32.58,-6.86
BTG,2026-01-27,9.24,16.02,25.26,-6.78,31.09,-13.64
BTG,2026-01-28,8.33,24.41,32.74,-16.08,17.58,-29.72
BTG,2026-01-29,13.19,10.17,23.36,3.02,20.73,-26.70
BTG,2026-01-30,4.05,6.87,10.92,-2.81,22.37,-29.51
BTG,2026-02-02,4.48,8.54,13.02,-4.06,17.28,-33.57
BTG,2026-02-03,9.19,16.96,26.16,-7.77,21.76,-41.34
BTG,2026-02-04,5.74,11.38,17.11,-5.64,16.02,-46.98
BTG,2026-02-05,22.25,22.32,44.57,-0.07,28.11,-47.05
BTG,2026-02-06,5.53,7.23,12.76,-1.70,16.73,-48.75
BTG,2026-02-09,22.90,11.43,34.33,11.47,19.95,-37.28
BTG,2026-02-10,18.23,3.23,21.46,15.00,19.75,-22.28
BTG,2026-02-11,16.54,16.26,32.80,0.29,35.69,-21.99
BTG,2026-02-12,21.24,6.50,27.73,14.74,15.01,-7.25
BTG,2026-02-13,26.89,18.51,45.40,8.38,20.98,1.13
BTG,2026-02-16,10.26,10.16,20.42,0.11,26.09,1.24
BTG,2026-02-17,29.41,6.33,35.74,23.07,22.67,24.31
BTG,2026-02-18,59.40,18.84,78.25,40.56,21.67,64.87
BTG,2026-02-19,33.28,28.10,61.39,5.18,27.00,70.05
BTG,2026-02-20,33.46,25.39,58.85,8.06,27.12,78.11
BTG,2026-02-23,50.59,28.79,79.38,21.80,20.28,99.91
BTG,2026-02-24,119.35,31.44,150.79,87.90,22.79,187.81
BTG,2026-02-25,278.57,56.17,334.75,222.40,30.27,410.21
BTG,2026-02-26,217.89,116.70,334.60,101.19,26.97,511.40
BTG,2026-02-27,105.65,63.11,168.76,42.54,36.76,553.94
BTG,2026-03-02,75.09,26.99,102.07,48.10,27.35,602.04
BTG,2026-03-04,100.62,91.77,192.39,8.84,37.86,610.88
BTG,2026-03-05,65.54,75.67,141.21,-10.13,39.27,600.75
BTG,2026-03-06,55.39,46.91,102.29,8.48,40.31,609.23
BTG,2026-03-09,54.43,47.15,101.57,7.28,30.65,616.51
BTG,2026-03-10,88.09,69.09,157.18,19.00,30.33,635.51
BTG,2026-03-11,38.78,71.10,109.87,-32.32,30.11,603.19
BTG,2026-03-12,38.34,32.86,71.20,5.48,28.97,608.67
BTG,2026-03-13,17.77,41.71,59.48,-23.95,28.61,584.72
BTG,2026-03-16,22.88,23.79,46.67,-0.91,29.92,583.81
BTG,2026-03-17,59.59,27.55,87.14,32.04,35.23,615.85
BTG,2026-03-18,107.13,87.84,194.96,19.29,25.78,635.14
BTG,2026-03-19,42.28,112.29,154.58,-70.01,29.36,565.13
BTG,2026-03-20,49.73,63.48,113.21,-13.75,33.35,551.38
BTG,2026-03-23,36.47,37.48,73.94,-1.01,26.62,550.37
BTG,2026-03-24,37.11,12.58,49.69,24.53,28.94,574.90
BTG,2026-03-25,73.51,14.44,87.95,59.07,34.07,633.97
BTG,2026-03-26,59.06,43.77,102.84,15.29,33.70,649.26
BTG,2026-03-27,337.01,100.04,437.05,236.97,19.28,886.23
BTG,2026-03-30,143.51,104.69,248.20,38.82,28.35,925.05
BTG,2026-03-31,153.13,68.86,221.99,84.27,32.72,1009.32
BTG,2026-04-01,70.06,30.19,100.25,39.87,34.09,1049.19
BTG,2026-04-02,140.16,85.33,225.49,54.82,25.50,1104.01
BTG,2026-04-03,59.86,71.33,131.20,-11.47,34.39,1092.54
BTG,2026-04-07,41.42,26.25,67.67,15.17,27.14,1107.71
BTG,2026-04-08,32.51,58.47,90.98,-25.96,38.13,1081.75
BTG,2026-04-09,48.93,38.40,87.33,10.53,46.40,1092.28
BTG,2026-04-10,63.73,30.48,94.21,33.25,38.50,1125.53
BTG,2026-04-16,120.13,48.70,168.83,71.43,32.95,1196.96
BTG,2026-04-17,65.26,81.22,146.48,-15.96,33.40,1181.00
BTG,2026-04-20,39.66,38.72,78.38,0.94,32.28,1181.94
BTG,2026-04-21,42.38,60.40,102.78,-18.02,42.18,1163.92
